regime,starting_bcr,min_bcr_mechanical
apr_2013,78,22.451666
apr_2013,79,22.741361
apr_2013,80,23.031055
apr_2013,81,23.320749
apr_2013,82,23.610444
apr_2013,83,23.900138
apr_2013,84,24.189832
apr_2013,85,24.479527
apr_2013,86,24.769221
apr_2013,87,25.058915
apr_2013,88,25.348610
apr_2013,89,25.638304
apr_2013,90,25.927998
apr_2013,91,26.217693
apr_2013,92,26.507387
apr_2013,93,26.797081
apr_2013,94,27.086776
apr_2013,95,27.376470
apr_2013,96,27.666164
apr_2013,97,27.955858
apr_2013,98,28.245553
apr_2013,99,28.535247
apr_2013,100,28.824941
early_2011,1,0.000000
early_2011,1.1,0.000000
early_2011,1.2,0.000000
early_2011,1.3,0.000000
early_2011,1.4,0.000000
early_2011,1.5,0.000000
early_2011,1.6,0.000000
early_2011,1.7,0.000000
early_2011,1.8,0.000000
early_2011,1.9,0.000000
early_2011,2,0.000000
early_2011,2.1,0.000000
early_2011,2.2,0.000000
early_2011,2.3,0.000000
early_2011,2.4,0.000000
early_2011,2.5,0.000000
early_2011,2.6,0.000000
early_2011,2.7,0.000000
early_2011,2.8,0.000000
early_2011,2.9,0.000000
early_2011,3,0.000000
early_2011,3.1,0.000000
early_2011,3.2,0.000000
early_2011,3.3,0.000000
early_2011,3.4,0.000000
early_2011,3.5,0.000000
early_2011,3.6,0.000000
early_2011,3.7,0.000000
early_2011,3.8,0.000000
early_2011,3.9,0.000000
early_2011,4,0.000000
early_2011,5,0.000000
early_2011,6,0.000000
early_2011,6.1,0.000000
early_2011,6.2,0.000000
early_2011,6.3,0.000000
early_2011,6.4,0.000000
early_2011,6.5,0.000000
early_2011,6.6,0.000000
early_2011,6.7,0.000000
early_2011,6.8,0.000000
early_2011,6.9,0.000000
early_2011,7,0.000000
early_2011,7.1,0.000000
early_2011,7.2,0.000000
early_2011,7.3,0.000000
early_2011,7.4,0.000000
early_2011,7.5,0.000000
early_2011,7.6,0.000000
early_2011,7.7,0.231475
early_2011,7.8,0.277223
early_2011,7.9,0.322971
early_2011,8,0.368719
early_2011,8.1,0.414467
early_2011,8.2,0.460215
early_2011,8.3,0.468690
early_2011,8.4,0.475941
early_2011,8.5,0.483193
early_2011,8.6,0.490444
early_2011,8.7,0.497696
early_2011,8.8,0.504947
early_2011,8.9,0.512199
early_2011,9,0.519450
early_2011,9.1,0.526702
early_2011,9.2,0.533953
early_2011,9.3,0.541204
early_2011,9.4,0.548456
early_2011,9.5,0.555707
early_2011,9.6,0.562959
early_2011,9.7,0.570210
early_2011,9.8,0.577462
early_2011,9.9,0.584713
early_2011,10,0.591965
early_2011,10.1,0.599216
early_2011,10.2,0.606468
early_2011,10.3,0.613719
early_2011,10.4,0.620971
early_2011,10.5,0.628222
early_2011,10.6,0.635474
early_2011,10.7,0.642725
early_2011,10.8,0.649977
early_2011,10.9,0.657228
early_2011,11,0.664480
early_2011,11.1,0.671731
early_2011,11.2,0.678983
early_2011,11.3,0.686234
early_2011,11.4,0.693486
early_2011,11.5,0.700737
early_2011,11.6,0.707989
early_2011,11.7,0.715240
early_2011,11.8,0.722492
early_2011,11.9,0.729743
early_2011,12,0.736995
early_2011,12.5,0.773252
early_2011,13,0.809510
early_2011,13.1,0.816761
early_2011,13.2,0.824013
early_2011,13.3,0.831264
early_2011,13.4,0.838516
early_2011,13.5,0.845767
early_2011,13.6,0.853019
early_2011,13.7,0.860270
early_2011,13.8,0.867521
early_2011,13.9,0.874773
early_2011,14,0.882024
early_2011,14.1,0.889276
early_2011,14.2,0.896527
early_2011,14.3,0.903779
early_2011,14.4,0.911030
early_2011,14.5,0.918282
early_2011,14.6,0.925533
early_2011,14.7,0.932785
early_2011,14.8,0.940036
early_2011,14.9,0.947288
early_2011,15,0.954539
early_2011,15.1,0.961791
early_2011,15.2,0.969042
early_2011,15.3,0.976294
early_2011,15.4,0.983545
early_2011,15.5,0.990797
early_2011,15.6,0.998048
early_2011,15.7,1.005300
early_2011,15.8,1.012551
early_2011,15.9,1.019803
early_2011,16,1.027054
early_2011,16.1,1.034306
early_2011,16.2,1.041557
early_2011,16.3,1.048809
early_2011,16.4,1.056060
early_2011,16.5,1.063312
early_2011,16.6,1.070563
early_2011,16.7,1.077815
early_2011,16.8,1.085066
early_2011,16.9,1.092318
early_2011,17,1.099569
early_2011,17.1,1.106821
early_2011,17.2,1.114072
early_2011,17.3,1.121324
early_2011,17.4,1.128575
early_2011,17.5,1.135827
early_2011,17.6,1.143078
early_2011,17.7,1.150330
early_2011,17.8,1.157581
early_2011,17.9,1.164833
early_2011,18,1.172084
early_2011,18.1,1.179336
early_2011,18.2,1.186587
early_2011,18.3,1.193838
early_2011,18.4,1.201090
early_2011,18.5,1.208341
early_2011,18.6,1.215593
early_2011,18.7,1.222844
early_2011,18.8,1.230096
early_2011,18.9,1.237347
early_2011,19,1.244599
early_2011,19.1,1.251850
early_2011,19.2,1.259102
early_2011,19.3,1.266353
early_2011,19.4,1.273605
early_2011,19.5,1.280856
early_2011,19.6,1.288108
early_2011,19.7,1.295359
early_2011,19.8,1.302611
early_2011,19.9,1.309862
early_2011,20,1.317114
early_2011,21,1.389629
early_2011,22,1.462144
early_2011,23,1.534658
early_2011,24,1.607173
early_2011,25,1.679688
early_2011,26,1.752203
early_2011,27,1.824718
early_2011,28,1.897233
early_2011,29,1.969748
early_2011,30,2.042263
early_2011,31,2.114778
early_2011,32,2.187292
early_2011,33,2.259807
early_2011,34,2.332322
early_2011,35,2.404837
early_2011,36,2.477352
early_2011,37,2.549867
early_2011,38,2.622382
early_2011,39,2.694897
early_2011,40,2.767412
early_2011,41,2.839926
early_2011,42,2.912441
early_2011,43,2.984956
early_2011,44,3.057471
early_2011,45,3.129986
early_2011,46,3.202501
early_2011,47,3.275016
early_2011,48,3.347531
early_2011,49,3.420046
early_2011,50,3.492560
early_2011,51,3.565075
early_2011,52,3.637590
early_2011,53,3.710105
early_2011,54,3.782620
early_2011,55,3.855135
early_2011,56,3.927650
early_2011,57,4.000165
early_2011,58,4.072680
early_2011,59,4.145195
early_2011,60,4.217709
early_2011,61,4.290224
early_2011,62,4.362739
early_2011,63,4.435254
early_2011,64,4.507769
early_2011,65,4.580284
early_2011,66,4.652799
early_2011,67,4.725314
early_2011,68,4.797829
early_2011,69,4.870343
early_2011,70,4.942858
early_2011,71,5.015373
early_2011,72,5.087888
early_2011,73,5.160403
early_2011,74,5.232918
early_2011,75,5.305433
early_2011,76,5.377948
early_2011,77,5.450463
early_2011,78,5.522977
early_2011,79,5.595492
early_2011,80,5.668007
early_2011,81,5.740522
early_2011,82,5.813037
early_2011,83,5.885552
early_2011,84,5.958067
early_2011,85,6.030582
early_2011,86,6.103097
early_2011,87,6.175611
early_2011,88,6.248126
early_2011,89,6.320641
early_2011,90,6.393156
early_2011,91,6.465671
early_2011,92,6.538186
early_2011,93,6.610701
early_2011,94,6.683216
early_2011,95,6.755731
early_2011,96,6.828245
early_2011,97,6.900760
early_2011,98,6.973275
early_2011,99,7.045790
early_2011,100,7.118305
fed_2022,1,0.000000
fed_2022,1.1,0.000000
fed_2022,1.2,0.000000
fed_2022,1.3,0.000000
fed_2022,1.4,0.000000
fed_2022,1.5,0.000000
fed_2022,1.6,0.000000
fed_2022,1.7,0.000000
fed_2022,1.8,0.000000
fed_2022,1.9,0.000000
fed_2022,2,0.000000
fed_2022,2.1,0.000000
fed_2022,2.2,0.000000
fed_2022,2.3,0.000000
fed_2022,2.4,0.000000
fed_2022,2.5,0.000000
fed_2022,2.6,0.000000
fed_2022,2.7,0.000000
fed_2022,2.8,0.000000
fed_2022,2.9,0.000000
fed_2022,3,0.000000
fed_2022,3.1,0.000000
fed_2022,3.2,0.000000
fed_2022,3.3,0.000000
fed_2022,3.4,0.000000
fed_2022,3.5,0.000000
fed_2022,3.6,0.000000
fed_2022,3.7,0.000000
fed_2022,3.8,0.000000
fed_2022,3.9,0.000000
fed_2022,4,0.000000
fed_2022,5,0.000000
fed_2022,6,0.000000
fed_2022,6.1,0.000000
fed_2022,6.2,0.000000
fed_2022,6.3,0.000000
fed_2022,6.4,0.000000
fed_2022,6.5,0.000000
fed_2022,6.6,0.000000
fed_2022,6.7,0.000000
fed_2022,6.8,0.000000
fed_2022,6.9,0.000000
fed_2022,7,0.127828
fed_2022,7.1,0.277747
fed_2022,7.2,0.427666
fed_2022,7.3,0.577586
fed_2022,7.4,0.727505
fed_2022,7.5,0.877424
fed_2022,7.6,1.027344
fed_2022,7.7,1.119771
fed_2022,7.8,1.159375
fed_2022,7.9,1.198979
fed_2022,8,1.226794
fed_2022,8.1,1.251258
fed_2022,8.2,1.275723
fed_2022,8.3,1.300188
fed_2022,8.4,1.324652
fed_2022,8.5,1.349117
fed_2022,8.6,1.373581
fed_2022,8.7,1.398046
fed_2022,8.8,1.422510
fed_2022,8.9,1.446975
fed_2022,9,1.471439
fed_2022,9.1,1.495904
fed_2022,9.2,1.520368
fed_2022,9.3,1.544833
fed_2022,9.4,1.569297
fed_2022,9.5,1.593762
fed_2022,9.6,1.618227
fed_2022,9.7,1.642691
fed_2022,9.8,1.667156
fed_2022,9.9,1.691620
fed_2022,10,1.716085
fed_2022,10.1,1.740549
fed_2022,10.2,1.765014
fed_2022,10.3,1.789478
fed_2022,10.4,1.813943
fed_2022,10.5,1.838407
fed_2022,10.6,1.862872
fed_2022,10.7,1.887337
fed_2022,10.8,1.911801
fed_2022,10.9,1.936266
fed_2022,11,1.960730
fed_2022,11.1,1.985195
fed_2022,11.2,2.009659
fed_2022,11.3,2.034124
fed_2022,11.4,2.058588
fed_2022,11.5,2.083053
fed_2022,11.6,2.107517
fed_2022,11.7,2.131982
fed_2022,11.8,2.156446
fed_2022,11.9,2.180911
fed_2022,12,2.205376
fed_2022,12.5,2.327698
fed_2022,13,2.450021
fed_2022,13.1,2.474486
fed_2022,13.2,2.498950
fed_2022,13.3,2.523415
fed_2022,13.4,2.547879
fed_2022,13.5,2.572344
fed_2022,13.6,2.596808
fed_2022,13.7,2.621273
fed_2022,13.8,2.645737
fed_2022,13.9,2.670202
fed_2022,14,2.694666
fed_2022,14.1,2.719131
fed_2022,14.2,2.743595
fed_2022,14.3,2.768060
fed_2022,14.4,2.792525
fed_2022,14.5,2.816989
fed_2022,14.6,2.841454
fed_2022,14.7,2.865918
fed_2022,14.8,2.890383
fed_2022,14.9,2.914847
fed_2022,15,2.939312
fed_2022,15.1,2.963776
fed_2022,15.2,2.988241
fed_2022,15.3,3.012705
fed_2022,15.4,3.037170
fed_2022,15.5,3.061635
fed_2022,15.6,3.086099
fed_2022,15.7,3.110564
fed_2022,15.8,3.135028
fed_2022,15.9,3.159493
fed_2022,16,3.183957
fed_2022,16.1,3.208422
fed_2022,16.2,3.232886
fed_2022,16.3,3.257351
fed_2022,16.4,3.281815
fed_2022,16.5,3.306280
fed_2022,16.6,3.330744
fed_2022,16.7,3.355209
fed_2022,16.8,3.379674
fed_2022,16.9,3.403206
fed_2022,17,3.426542
fed_2022,17.1,3.449879
fed_2022,17.2,3.473216
fed_2022,17.3,3.496552
fed_2022,17.4,3.519889
fed_2022,17.5,3.543225
fed_2022,17.6,3.566562
fed_2022,17.7,3.589899
fed_2022,17.8,3.613235
fed_2022,17.9,3.636572
fed_2022,18,3.659909
fed_2022,18.1,3.683245
fed_2022,18.2,3.706582
fed_2022,18.3,3.729919
fed_2022,18.4,3.753255
fed_2022,18.5,3.776592
fed_2022,18.6,3.799929
fed_2022,18.7,3.823265
fed_2022,18.8,3.846602
fed_2022,18.9,3.869938
fed_2022,19,3.893275
fed_2022,19.1,3.916612
fed_2022,19.2,3.939948
fed_2022,19.3,3.963285
fed_2022,19.4,3.986622
fed_2022,19.5,4.009958
fed_2022,19.6,4.033295
fed_2022,19.7,4.056632
fed_2022,19.8,4.079968
fed_2022,19.9,4.103305
fed_2022,20,4.126641
fed_2022,21,4.360008
fed_2022,22,4.593374
fed_2022,23,4.826741
fed_2022,24,5.060107
fed_2022,25,5.293473
fed_2022,26,5.526840
fed_2022,27,5.760206
fed_2022,28,5.993573
fed_2022,29,6.226939
fed_2022,30,6.460305
fed_2022,31,6.693672
fed_2022,32,6.927038
fed_2022,33,7.160405
fed_2022,34,7.393771
fed_2022,35,7.627137
fed_2022,36,7.860504
fed_2022,37,8.093870
fed_2022,38,8.327236
fed_2022,39,8.560603
fed_2022,40,8.793969
fed_2022,41,9.027336
fed_2022,42,9.260702
fed_2022,43,9.494068
fed_2022,44,9.727435
fed_2022,45,9.960801
fed_2022,46,10.194168
fed_2022,47,10.427534
fed_2022,48,10.660900
fed_2022,49,10.894267
fed_2022,50,11.127633
fed_2022,51,11.361000
fed_2022,52,11.594366
fed_2022,53,11.827732
fed_2022,54,12.061099
fed_2022,55,12.294465
fed_2022,56,12.527832
fed_2022,57,12.761198
fed_2022,58,12.994564
fed_2022,59,13.227931
fed_2022,60,13.461297
fed_2022,61,13.694663
fed_2022,62,13.928030
fed_2022,63,14.161396
fed_2022,64,14.394763
fed_2022,65,14.628129
fed_2022,66,14.861495
fed_2022,67,15.094862
fed_2022,68,15.328228
fed_2022,69,15.561595
fed_2022,70,15.794961
fed_2022,71,16.028327
fed_2022,72,16.261694
fed_2022,73,16.495060
fed_2022,74,16.728427
fed_2022,75,16.961793
fed_2022,76,17.195159
fed_2022,77,17.428526
fed_2022,78,17.661892
fed_2022,79,17.895259
fed_2022,80,18.128625
fed_2022,81,18.361991
fed_2022,82,18.595358
fed_2022,83,18.828724
fed_2022,84,19.062090
fed_2022,85,19.295457
fed_2022,86,19.528823
fed_2022,87,19.762190
fed_2022,88,19.995556
fed_2022,89,20.228922
fed_2022,90,20.462289
fed_2022,91,20.695655
fed_2022,92,20.929022
fed_2022,93,21.162388
fed_2022,94,21.395754
fed_2022,95,21.629121
fed_2022,96,21.862487
fed_2022,97,22.095854
fed_2022,98,22.329220
fed_2022,99,22.562586
fed_2022,100,22.795953
ico_2018,1,0.000000
ico_2018,1.1,0.000000
ico_2018,1.2,0.000000
ico_2018,1.3,0.000000
ico_2018,1.4,0.000000
ico_2018,1.5,0.000000
ico_2018,1.6,0.000000
ico_2018,1.7,0.000000
ico_2018,1.8,0.000000
ico_2018,1.9,0.000000
ico_2018,2,0.000000
ico_2018,2.1,0.000000
ico_2018,2.2,0.000000
ico_2018,2.3,0.000000
ico_2018,2.4,0.000000
ico_2018,2.5,0.000000
ico_2018,2.6,0.000000
ico_2018,2.7,0.000000
ico_2018,2.8,0.000000
ico_2018,2.9,0.000000
ico_2018,3,0.000000
ico_2018,3.1,0.000000
ico_2018,3.2,0.000000
ico_2018,3.3,0.000000
ico_2018,3.4,0.000000
ico_2018,3.5,0.000000
ico_2018,3.6,0.000000
ico_2018,3.7,0.000000
ico_2018,3.8,0.000000
ico_2018,3.9,0.000000
ico_2018,4,0.000000
ico_2018,5,0.000000
ico_2018,6,0.000000
ico_2018,6.1,0.000000
ico_2018,6.2,0.000000
ico_2018,6.3,0.000000
ico_2018,6.4,0.000000
ico_2018,6.5,0.000000
ico_2018,6.6,0.000000
ico_2018,6.7,0.000000
ico_2018,6.8,0.000000
ico_2018,6.9,0.000000
ico_2018,7,0.000000
ico_2018,7.1,0.000000
ico_2018,7.2,0.000000
ico_2018,7.3,0.000000
ico_2018,7.4,0.000000
ico_2018,7.5,0.000000
ico_2018,7.6,0.000000
ico_2018,7.7,0.000000
ico_2018,7.8,0.000000
ico_2018,7.9,0.000000
ico_2018,8,0.000000
ico_2018,8.1,0.000000
ico_2018,8.2,0.000000
ico_2018,8.3,0.000000
ico_2018,8.4,0.206867
ico_2018,8.5,0.450382
ico_2018,8.6,0.509855
ico_2018,8.7,0.563209
ico_2018,8.8,0.588442
ico_2018,8.9,0.613675
ico_2018,9,0.638908
ico_2018,9.1,0.664141
ico_2018,9.2,0.689375
ico_2018,9.3,0.714608
ico_2018,9.4,0.739841
ico_2018,9.5,0.765074
ico_2018,9.6,0.790307
ico_2018,9.7,0.815540
ico_2018,9.8,0.840773
ico_2018,9.9,0.866006
ico_2018,10,0.891239
ico_2018,10.1,0.916472
ico_2018,10.2,0.941705
ico_2018,10.3,0.966939
ico_2018,10.4,0.992172
ico_2018,10.5,1.017405
ico_2018,10.6,1.042638
ico_2018,10.7,1.067871
ico_2018,10.8,1.093104
ico_2018,10.9,1.118337
ico_2018,11,1.143570
ico_2018,11.1,1.168803
ico_2018,11.2,1.194036
ico_2018,11.3,1.219269
ico_2018,11.4,1.244503
ico_2018,11.5,1.269736
ico_2018,11.6,1.294969
ico_2018,11.7,1.320202
ico_2018,11.8,1.345435
ico_2018,11.9,1.370668
ico_2018,12,1.395901
ico_2018,12.5,1.522067
ico_2018,13,1.648232
ico_2018,13.1,1.673465
ico_2018,13.2,1.692934
ico_2018,13.3,1.710442
ico_2018,13.4,1.727950
ico_2018,13.5,1.745457
ico_2018,13.6,1.762965
ico_2018,13.7,1.780473
ico_2018,13.8,1.797980
ico_2018,13.9,1.815488
ico_2018,14,1.832996
ico_2018,14.1,1.850503
ico_2018,14.2,1.868011
ico_2018,14.3,1.885518
ico_2018,14.4,1.903026
ico_2018,14.5,1.920534
ico_2018,14.6,1.938041
ico_2018,14.7,1.955549
ico_2018,14.8,1.973057
ico_2018,14.9,1.990564
ico_2018,15,2.008072
ico_2018,15.1,2.025580
ico_2018,15.2,2.043087
ico_2018,15.3,2.060595
ico_2018,15.4,2.078103
ico_2018,15.5,2.095610
ico_2018,15.6,2.113118
ico_2018,15.7,2.130626
ico_2018,15.8,2.148133
ico_2018,15.9,2.165641
ico_2018,16,2.183149
ico_2018,16.1,2.200656
ico_2018,16.2,2.218164
ico_2018,16.3,2.235672
ico_2018,16.4,2.253179
ico_2018,16.5,2.270687
ico_2018,16.6,2.288195
ico_2018,16.7,2.305702
ico_2018,16.8,2.323210
ico_2018,16.9,2.340717
ico_2018,17,2.358225
ico_2018,17.1,2.375733
ico_2018,17.2,2.393240
ico_2018,17.3,2.410748
ico_2018,17.4,2.428256
ico_2018,17.5,2.445763
ico_2018,17.6,2.463271
ico_2018,17.7,2.480779
ico_2018,17.8,2.498286
ico_2018,17.9,2.515794
ico_2018,18,2.533302
ico_2018,18.1,2.550809
ico_2018,18.2,2.568317
ico_2018,18.3,2.585825
ico_2018,18.4,2.603332
ico_2018,18.5,2.620840
ico_2018,18.6,2.638348
ico_2018,18.7,2.655855
ico_2018,18.8,2.673363
ico_2018,18.9,2.690871
ico_2018,19,2.708378
ico_2018,19.1,2.725886
ico_2018,19.2,2.743393
ico_2018,19.3,2.760901
ico_2018,19.4,2.778409
ico_2018,19.5,2.795652
ico_2018,19.6,2.812223
ico_2018,19.7,2.828793
ico_2018,19.8,2.845364
ico_2018,19.9,2.861934
ico_2018,20,2.878505
ico_2018,21,3.044212
ico_2018,22,3.209918
ico_2018,23,3.375625
ico_2018,24,3.541331
ico_2018,25,3.707038
ico_2018,26,3.872744
ico_2018,27,4.038451
ico_2018,28,4.204157
ico_2018,29,4.369864
ico_2018,30,4.535570
ico_2018,31,4.701277
ico_2018,32,4.866983
ico_2018,33,5.032690
ico_2018,34,5.198396
ico_2018,35,5.364103
ico_2018,36,5.529809
ico_2018,37,5.695516
ico_2018,38,5.861222
ico_2018,39,6.026929
ico_2018,40,6.192635
ico_2018,41,6.358342
ico_2018,42,6.524048
ico_2018,43,6.689755
ico_2018,44,6.855461
ico_2018,45,7.021168
ico_2018,46,7.186874
ico_2018,47,7.352581
ico_2018,48,7.518287
ico_2018,49,7.683994
ico_2018,50,7.849700
ico_2018,51,8.015407
ico_2018,52,8.181113
ico_2018,53,8.346820
ico_2018,54,8.512526
ico_2018,55,8.678233
ico_2018,56,8.843939
ico_2018,57,9.009646
ico_2018,58,9.175352
ico_2018,59,9.341059
ico_2018,60,9.506765
ico_2018,61,9.672472
ico_2018,62,9.838178
ico_2018,63,10.003885
ico_2018,64,10.169591
ico_2018,65,10.335298
ico_2018,66,10.501004
ico_2018,67,10.666711
ico_2018,68,10.832417
ico_2018,69,10.998124
ico_2018,70,11.163830
ico_2018,71,11.329537
ico_2018,72,11.495243
ico_2018,73,11.660950
ico_2018,74,11.826656
ico_2018,75,11.992363
ico_2018,76,12.158070
ico_2018,77,12.323776
ico_2018,78,12.489483
ico_2018,79,12.655189
ico_2018,80,12.820896
ico_2018,81,12.986602
ico_2018,82,13.152309
ico_2018,83,13.318015
ico_2018,84,13.483722
ico_2018,85,13.649428
ico_2018,86,13.815135
ico_2018,87,13.980841
ico_2018,88,14.146548
ico_2018,89,14.312254
ico_2018,90,14.477961
ico_2018,91,14.643667
ico_2018,92,14.809374
ico_2018,93,14.975080
ico_2018,94,15.140787
ico_2018,95,15.306493
ico_2018,96,15.472200
ico_2018,97,15.637906
ico_2018,98,15.803613
ico_2018,99,15.969319
ico_2018,100,16.135026
mtgox_2014,1,0.000000
mtgox_2014,1.1,0.000000
mtgox_2014,1.2,0.000000
mtgox_2014,1.3,0.000000
mtgox_2014,1.4,0.000000
mtgox_2014,1.5,0.000000
mtgox_2014,1.6,0.000000
mtgox_2014,1.7,0.000000
mtgox_2014,1.8,0.000000
mtgox_2014,1.9,0.000000
mtgox_2014,2,0.000000
mtgox_2014,2.1,0.000000
mtgox_2014,2.2,0.000000
mtgox_2014,2.3,0.000000
mtgox_2014,2.4,0.000000
mtgox_2014,2.5,0.000000
mtgox_2014,2.6,0.000000
mtgox_2014,2.7,0.000000
